route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,jp_trip_desc,jp_trip_desc_symbol,jp_office_id
dentetsu_1_1091_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000160_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000093_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000078_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000285_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000186_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000416_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000196_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000270_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000314_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000669_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000321_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000183_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000195_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000236_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1091_1_20260314,dentetsu_1_4_20260314,dentetsu_4_401000218_20260314,菊池温泉・市民広場前,,,,,,,1
dentetsu_1_1092_2_20260314,dentetsu_1_1_20260314,dentetsu_1_101000159_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1092_2_20260314,dentetsu_1_1_20260314,dentetsu_1_101000208_20260314,蓮台寺入口,,,,,,,1
dentetsu_1_1092_2_20260314,dentetsu_1_1_20260314,dentetsu_1_101000085_20260314,蓮台寺入口,,,,,,,1
